,Concept(BoW)
StMichaelsChurch&StMichaelsChurch,0.28676775097846985
StMichaelsChurch&StMichaelsChurch,0.3392239809036255
StMichaelsChurch&StMichaelsChurch,0.14675459265708923
StMichaelsChurch&StMichaelsChurch,0.21379977464675903
StMichaelsChurch&StMichaelsChurch,0.04279288649559021
StMichaelsChurch&StMichaelsChurch,0.21360865235328674
StMichaelsChurch&StMichaelsChurch,0.08652135729789734
StMichaelsChurch&StMichaelsChurch,0.15354962646961212
StMichaelsChurch&StMichaelsChurch,0.09831094741821289
StMichaelsChurch&StMichaelsChurch,0.12380742281675339
StMichaelsChurch&StMichaelsChurch,0.08478046953678131
StMichaelsChurch&StMichaelsChurch,0.06029076501727104
StMichaelsChurch&StMichaelsChurch,0.21936824917793274
StMichaelsChurch&StMichaelsChurch,0.16760043799877167
StMichaelsChurch&StMichaelsChurch,0.3795320689678192
StMichaelsChurch&StMichaelsChurch,0.22795306146144867
StMichaelsChurch&StMichaelsChurch,0.39259767532348633
StMichaelsChurch&StMichaelsChurch,0.23387511074543
StMichaelsChurch&StMichaelsChurch,0.18011274933815002
StMichaelsChurch&StMichaelsChurch,0.2327239066362381
StMichaelsChurch&StMichaelsChurch,0.11765103787183762
StMichaelsChurch&StMichaelsChurch,0.04208211600780487
StMichaelsChurch&StMichaelsChurch,0.16350281238555908
StMichaelsChurch&StMichaelsChurch,0.13351301848888397
StMichaelsChurch&StMichaelsChurch,0.14291304349899292
StMichaelsChurch&StMichaelsChurch,0.11750978231430054
StMichaelsChurch&StMichaelsChurch,0.19320671260356903
StMichaelsChurch&StMichaelsChurch,0.19111791253089905
StMichaelsChurch&StMichaelsChurch,0.13878341019153595
StMichaelsChurch&StMichaelsChurch,0.1996706873178482
StMichaelsChurch&StMichaelsChurch,0.16616575419902802
StMichaelsChurch&StMichaelsChurch,0.2371363788843155
StMichaelsChurch&StMichaelsChurch,0.16871188580989838
StMichaelsChurch&StMichaelsChurch,0.27552497386932373
