,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
CastelBeranger&Zonnestraal,07_ArtNouveau,08_EarlyModernism,14.4164327,13.89891484,27.86504662,11.4663148,35.24693928,5.022580376,91.39871001,149,0.299550168,0.260060914,0.476543717,0.594942206,0.45154056
HotelTassel&Bergpolderflat,07_ArtNouveau,08_EarlyModernism,23.71833965,10.88821314,25.4069199,11.6494546,47.79092892,7.063453077,80.99395633,33,0.341432482,0.350688457,0.495325595,0.324966842,0.42542997
HotelTassel&FagusFactory,07_ArtNouveau,08_EarlyModernism,30.19477188,10.81033363,26.43687996,14.10525531,45.88411095,7.016085432,93.21158528,60,0.296994235,0.354182474,0.608107358,0.377685882,0.363317758
HotelTassel&Tugendhat,07_ArtNouveau,08_EarlyModernism,27.09796495,13.14626585,27.81443932,12.14258421,39.12805609,7.043590308,94.02433038,32,0.322451882,0.36997734,0.530235529,0.506790981,0.507809997
HotelTassel&Zonnestraal,07_ArtNouveau,08_EarlyModernism,30.81888688,11.84649443,26.07644777,12.85196207,55.96804838,5.859501053,95.25265098,164,0.289032511,0.330377549,0.496629834,0.47351637,0.432869196
SecessionBulding&Bergpolderflat,07_ArtNouveau,08_EarlyModernism,26.39747935,12.30328364,38.22146646,7.623323216,49.83381739,5.320710042,86.41334176,33,0.32371638,0.367391095,0.541291565,0.40824829,0.367790133
SecessionBulding&FagusFactory,07_ArtNouveau,08_EarlyModernism,33.53474934,10.84686924,36.74250525,6.37871432,52.66704011,4.861012814,92.41493344,60,0.32045529,0.447207257,0.573183462,0.427749102,0.32167089
SecessionBulding&Tugendhat,07_ArtNouveau,08_EarlyModernism,30.25547317,11.83480516,36.60249184,9.405737497,48.63469489,4.837150517,92.079705,32,0.384131894,0.331040673,0.533046953,0.464238345,0.391926974
SecessionBulding&Zonnestraal,07_ArtNouveau,08_EarlyModernism,36.37228616,11.06855466,31.94577948,8.232127322,55.6748644,4.637581935,90.57437181,164,0.348803408,0.32502678,0.53298407,0.458309951,0.399512589
CasaBatllo&Chilehaus,07_ArtNouveau,09_Expressionist,25.54876247,11.04032886,15.44500555,8.851495287,52.29326356,5.316297355,94.36641932,154,0.289989572,0.277800374,0.305793531,0.509596043,0.394131839
