,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
SantaMariadellaPace&Amalienburg,04_Renaissance,06_Rococo,28.39128091,12.32847811,9.679172854,9.549682061,51.23713236,6.597810984,91.02908969,64,0.525010049,0.365819976,0.341152363,0.212132034,0.245977536
SantaMariadellaPace&HoteldeSoubise,04_Renaissance,06_Rococo,28.03305957,10.7752187,11.01249358,9.04884119,53.03535158,5.081148017,93.56016517,72,0.564578637,0.406349897,0.368262358,0.204124145,0.240270063
SantaMariadellaPace&LinderhofPalace,04_Renaissance,06_Rococo,25.28817953,11.34803191,7.628021052,10.32311567,46.44085439,6.24339362,92.60144234,58,0.555223092,0.382350802,0.455789924,0.262800165,0.106103159
SantaMariadellaPace&Sanssouci,04_Renaissance,06_Rococo,29.52948846,11.92531751,8.670645054,11.169815,51.56076451,5.198469109,74.74303246,58,0.463956743,0.418265164,0.364678115,0.320232015,0.271677792
FlorenceCathedral&CasaBatllo,04_Renaissance,07_ArtNouveau,27.15034258,12.45143272,16.73321414,21.09464907,47.12430714,7.519280425,90.9830749,90,0.326807566,0.294937596,0.301024273,0.475945758,0.290968299
FlorenceCathedral&CastelBeranger,04_Renaissance,07_ArtNouveau,11.0846887,10.39304526,14.17205164,14.37367923,46.65550399,6.845321447,84.57930088,137,0.428929746,0.308280084,0.327138513,0.533181677,0.156815052
FlorenceCathedral&HotelTassel,04_Renaissance,07_ArtNouveau,22.04501663,11.21761205,14.047063,14.25300209,39.85150795,9.355654347,89.98147249,42,0.396136716,0.261736382,0.33736366,0.392021773,0.20979929
FlorenceCathedral&SecessionBulding,04_Renaissance,07_ArtNouveau,21.33701447,10.76826068,18.27382827,23.55502984,47.77874374,6.966230899,86.17142439,42,0.256022159,0.234895315,0.338435315,0.441976269,0.179453909
OspedaledegliInnocenti&CasaBatllo,04_Renaissance,07_ArtNouveau,29.02973336,15.34558563,20.48753435,8.611616123,32.63736902,8.064603253,88.24866414,84,0.276162248,0.299031794,0.340770327,0.531713643,0.254864603
OspedaledegliInnocenti&CastelBeranger,04_Renaissance,07_ArtNouveau,14.21570375,8.271631719,17.24075762,11.59032954,31.13812137,7.381720714,77.21220255,137,0.217713386,0.32396286,0.348983936,0.640722369,0.31834507
OspedaledegliInnocenti&HotelTassel,04_Renaissance,07_ArtNouveau,25.97859744,13.4125826,22.26106172,14.5555173,25.30692136,10.08816132,88.42086792,80,0.309009064,0.391422875,0.488714531,0.452853357,0.271076143
OspedaledegliInnocenti&SecessionBulding,04_Renaissance,07_ArtNouveau,25.71256192,10.14928224,25.25312236,13.54126009,32.62982302,7.407703414,79.64934707,80,0.294156354,0.336450726,0.517457604,0.536345324,0.26614821
PalazzoMediciRiccardi&CasaBatllo,04_Renaissance,07_ArtNouveau,26.78327826,12.69134042,10.70072083,9.852577723,47.56152814,7.970532977,89.88719583,90,0.365163341,0.286699992,0.409930311,0.468762799,0.353015035
PalazzoMediciRiccardi&CastelBeranger,04_Renaissance,07_ArtNouveau,19.09809563,11.30412312,10.13277588,11.96718759,35.0630408,7.507874799,92.15840697,137,0.470832199,0.385428481,0.477668501,0.529293411,0.385650903
PalazzoMediciRiccardi&HotelTassel,04_Renaissance,07_ArtNouveau,23.24361951,10.58029589,11.52761147,15.56564131,45.07053588,9.007237571,89.85546231,40,0.441210113,0.382931463,0.581564784,0.482450641,0.264180064
PalazzoMediciRiccardi&SecessionBulding,04_Renaissance,07_ArtNouveau,25.53147415,12.44639281,13.58614233,14.49126598,38.33896966,7.790591739,92.30030775,40,0.331297353,0.324728414,0.581934109,0.408550585,0.286037564
SantaMariadellaPace&CasaBatllo,04_Renaissance,07_ArtNouveau,24.8449843,8.619404356,11.07060004,10.28604318,52.5514311,5.729097774,88.38531971,91,0.408157125,0.2826811,0.251703613,0.242535625,0.284351796
SantaMariadellaPace&CastelBeranger,04_Renaissance,07_ArtNouveau,23.34694842,11.81219881,9.355061453,14.02834601,39.45793418,6.274684094,89.85589743,134,0.474698521,0.38993632,0.348866694,0.304635898,0.287257493
SantaMariadellaPace&HotelTassel,04_Renaissance,07_ArtNouveau,23.03800229,8.398270702,11.78660441,16.64733434,50.34778643,6.854697508,88.08030486,59,0.542655684,0.284717996,0.317178905,0.208476962,0.189969182
SantaMariadellaPace&SecessionBulding,04_Renaissance,07_ArtNouveau,28.23144086,12.51887416,12.68964239,15.47461501,42.94517424,6.305824235,89.57250714,59,0.35975989,0.227644265,0.313803874,0.333333333,0.259836793
FlorenceCathedral&Bergpolderflat,04_Renaissance,08_EarlyModernism,25.95321323,10.27042372,16.4817483,17.87721008,43.98000061,7.943094061,71.7967093,39,0.27458429,0.188445568,0.304275841,0.508829679,0.015042182
FlorenceCathedral&FagusFactory,04_Renaissance,08_EarlyModernism,28.1127695,8.090741679,16.48172596,22.62432954,39.69540562,7.858157821,89.13190365,62,0.311984532,0.215815082,0.388353117,0.492432546,0.136056945
FlorenceCathedral&Tugendhat,04_Renaissance,08_EarlyModernism,23.32075966,12.05250135,17.84445582,19.16443125,34.27358474,8.008596475,90.45158029,38,0.264493722,0.195086639,0.35689158,0.541681356,0.188111529
FlorenceCathedral&Zonnestraal,04_Renaissance,08_EarlyModernism,26.81461216,11.16193648,16.42964474,20.48652566,51.70497833,6.81052563,87.99053431,168,0.231908806,0.191324338,0.407020345,0.56254395,0.137600824
OspedaledegliInnocenti&Bergpolderflat,04_Renaissance,08_EarlyModernism,25.51034256,10.03973595,22.45816989,13.95581138,30.07239307,8.553426391,65.30024409,93,0.246595822,0.331541367,0.459652185,0.566564335,0.22026825
OspedaledegliInnocenti&FagusFactory,04_Renaissance,08_EarlyModernism,29.21434395,8.69282173,21.61768282,10.20960307,28.63206413,8.182549364,85.59985161,86,0.369762763,0.360134207,0.502832361,0.564781089,0.284744382
OspedaledegliInnocenti&Tugendhat,04_Renaissance,08_EarlyModernism,27.87946949,8.952922373,25.27433301,7.479679889,25.66240178,8.032906884,88.741678,90,0.304688971,0.373526037,0.401970342,0.567701911,0.205270693
OspedaledegliInnocenti&Zonnestraal,04_Renaissance,08_EarlyModernism,30.90940374,11.05275528,21.33548565,7.199071936,35.85534651,7.73674048,84.95717049,168,0.275579814,0.337467372,0.376160063,0.625768136,0.358043939
PalazzoMediciRiccardi&Bergpolderflat,04_Renaissance,08_EarlyModernism,25.10006944,10.31272616,12.44867668,13.92745973,43.68192203,8.611683165,88.28472495,41,0.281310365,0.302178781,0.510357834,0.500370233,0.256918997
PalazzoMediciRiccardi&FagusFactory,04_Renaissance,08_EarlyModernism,29.61182051,11.67055537,11.31350689,12.14639088,46.39002263,8.126971976,89.69675303,62,0.312249377,0.313684694,0.600083172,0.459034041,0.254386574
PalazzoMediciRiccardi&Tugendhat,04_Renaissance,08_EarlyModernism,26.79876333,12.30866728,12.64380116,9.110997674,43.67763541,8.042723096,88.88825178,44,0.311086982,0.298221555,0.5163766,0.490210683,0.406777203
PalazzoMediciRiccardi&Zonnestraal,04_Renaissance,08_EarlyModernism,29.15762066,13.66916113,10.88840199,8.300118088,47.95924478,8.091337748,89.15584683,162,0.282989692,0.280957803,0.616528168,0.577777778,0.322768062
SantaMariadellaPace&Bergpolderflat,04_Renaissance,08_EarlyModernism,26.96952376,9.928173753,12.77944773,15.10105614,48.53880069,6.337917558,85.06209254,60,0.342233919,0.225688968,0.336427994,0.272165527,0.164841294
SantaMariadellaPace&FagusFactory,04_Renaissance,08_EarlyModernism,32.38877267,11.22528711,11.26549962,13.61818943,52.94046281,5.621298785,87.96636462,65,0.328054704,0.209358174,0.371236429,0.245326691,0.17539686
SantaMariadellaPace&Tugendhat,04_Renaissance,08_EarlyModernism,29.85419761,12.7789132,13.24904429,9.740854635,49.2813972,5.751327321,86.36646271,59,0.412077881,0.229303982,0.309334449,0.247593784,0.231400147
SantaMariadellaPace&Zonnestraal,04_Renaissance,08_EarlyModernism,32.55591918,12.9418619,11.17251499,10.08214653,54.33122554,5.407969221,86.96478605,159,0.325641382,0.174827971,0.374497898,0.294627825,0.310603023
FlorenceCathedral&Chilehaus,04_Renaissance,09_Expressionist,26.66247322,11.75356676,15.07277227,21.82698364,51.29700272,7.078584454,89.80882764,166,0.351722583,0.282189697,0.389721885,0.541815993,0.17648007
FlorenceCathedral&EinsteinTower,04_Renaissance,09_Expressionist,26.61553873,10.92993687,19.61248998,14.37890022,44.27928567,7.227575642,89.71964717,43,0.260071356,0.224678237,0.30961927,0.536082788,0.161872879
FlorenceCathedral&Goetheanum,04_Renaissance,09_Expressionist,28.15209983,9.666428132,18.7868003,14.68511575,47.99257672,7.654040481,72.90292978,63,0.311337397,0.252800524,0.419777935,0.49753259,-0.068841539
FlorenceCathedral&HetSchip,04_Renaissance,09_Expressionist,22.17660571,8.232740231,16.74027325,20.40721541,41.40548668,7.766512884,84.50104594,57,0.311178356,0.224484254,0.396330178,0.552607291,0.149813533
OspedaledegliInnocenti&Chilehaus,04_Renaissance,09_Expressionist,28.61868944,11.94339435,16.35691805,10.06013825,32.92577627,8.070932319,90.21289945,160,0.338761076,0.357614875,0.340574443,0.616408536,0.269450456
OspedaledegliInnocenti&EinsteinTower,04_Renaissance,09_Expressionist,30.95137635,10.38615327,24.94397125,12.8977025,30.41125379,8.039693571,92.03177094,91,0.230768345,0.337807,0.308769842,0.651443645,0.199731365
OspedaledegliInnocenti&Goetheanum,04_Renaissance,09_Expressionist,31.57633194,10.43476411,24.94872746,12.13240556,32.46697518,8.330721668,65.79938531,87,0.28535134,0.318433717,0.322278107,0.548876195,0.062911198
OspedaledegliInnocenti&HetSchip,04_Renaissance,09_Expressionist,25.15280376,7.485811864,21.29981437,9.087666231,30.07063515,7.829238975,79.35630679,67,0.305433117,0.324434802,0.406262328,0.600108873,0.271190971
PalazzoMediciRiccardi&Chilehaus,04_Renaissance,09_Expressionist,28.07166615,9.389604395,7.887342024,10.63038455,51.81722981,8.054754841,90.35294056,162,0.303095385,0.334566705,0.46754209,0.584039692,0.255450875
PalazzoMediciRiccardi&EinsteinTower,04_Renaissance,09_Expressionist,27.66415385,9.957852373,12.36836264,13.51123278,39.65054521,8.333758199,76.50514245,43,0.287472799,0.289556108,0.438150297,0.594942883,0.193835452
PalazzoMediciRiccardi&Goetheanum,04_Renaissance,09_Expressionist,29.66623977,12.86491186,13.1635636,12.39152129,43.80724671,8.682971843,89.07498121,61,0.364780806,0.301422842,0.421104138,0.54272042,0.136380628
PalazzoMediciRiccardi&HetSchip,04_Renaissance,09_Expressionist,27.37256393,10.53665537,11.03455695,9.368984755,48.42170968,7.874129291,88.50542307,45,0.335790046,0.314876057,0.489616166,0.535819749,0.270746619
SantaMariadellaPace&Chilehaus,04_Renaissance,09_Expressionist,29.47946932,8.710393327,8.117905066,10.20909888,56.57277087,5.420792607,88.29784989,159,0.430048838,0.317568645,0.481392123,0.380374867,0.248675048
SantaMariadellaPace&EinsteinTower,04_Renaissance,09_Expressionist,30.30094511,10.43099596,13.08167377,13.97351766,44.11294863,6.29709669,74.49416518,60,0.313347436,0.221334293,0.382487421,0.307139576,0.179641172
SantaMariadellaPace&Goetheanum,04_Renaissance,09_Expressionist,32.56550239,12.00657705,12.78331212,14.21623919,50.2633011,6.317675965,88.35869431,62,0.456888668,0.285840165,0.391576181,0.319801075,0.18506673
SantaMariadellaPace&HetSchip,04_Renaissance,09_Expressionist,30.01672612,10.52998794,11.86324611,10.71841523,51.65668749,5.518840967,86.53131723,50,0.381543465,0.263277691,0.45900471,0.256534537,0.283220083
FlorenceCathedral&EquitableBuilding,04_Renaissance,10_International,25.64151522,13.32720222,14.49558965,18.50455861,44.2164189,7.077395016,89.47467208,162,0.237673648,0.294299614,0.347129315,0.537179137,0.208441481
FlorenceCathedral&Glaspaleis,04_Renaissance,10_International,22.01499078,11.06984399,19.00242091,15.66607043,43.19216838,17.20807353,88.57738376,43,0.295136664,0.199555419,0.337407067,0.443784672,0.134657487
FlorenceCathedral&Kiefhoek,04_Renaissance,10_International,26.63942081,10.13649204,20.15906922,17.88979219,39.98148981,8.176562347,75.27995706,42,0.221868694,0.18558532,0.318649761,0.425033207,0.046003312
FlorenceCathedral&SeagramBuilding,04_Renaissance,10_International,23.60723152,13.43524651,17.96605162,20.56109251,47.38213651,6.980610168,88.8979435,59,0.270115081,0.226159137,0.343891228,0.517897272,0.167422235
OspedaledegliInnocenti&EquitableBuilding,04_Renaissance,10_International,29.27752316,14.72873945,23.12958482,13.7719857,31.062655,7.669762984,90.70894718,174,0.226760227,0.372322939,0.410967648,0.649159391,0.250699669
OspedaledegliInnocenti&Glaspaleis,04_Renaissance,10_International,24.86176795,10.4699788,25.93997735,11.33635981,27.59850896,19.64963877,85.84926724,97,0.285193801,0.361493563,0.281035095,0.564139456,0.211452708
OspedaledegliInnocenti&Kiefhoek,04_Renaissance,10_International,31.05371499,9.039850197,28.29990663,10.64795256,27.48537418,8.515548113,69.92361546,88,0.299167003,0.35909909,0.451756425,0.455104099,0.112974837
OspedaledegliInnocenti&SeagramBuilding,04_Renaissance,10_International,25.49830962,14.84336644,21.82257265,11.74131568,31.80588192,7.8342248,85.99703312,93,0.241561282,0.340670951,0.432424282,0.575168395,0.124659032
PalazzoMediciRiccardi&EquitableBuilding,04_Renaissance,10_International,25.87880808,11.49991297,11.94748951,14.77960173,42.31918275,7.699081866,81.03664517,164,0.234152894,0.409480624,0.549056113,0.534749892,0.179433852
PalazzoMediciRiccardi&Glaspaleis,04_Renaissance,10_International,26.55530084,10.16450162,13.20554212,11.86173496,26.159638,26.70075703,88.36011887,47,0.278971601,0.304853777,0.451481968,0.533333333,0.285912305
PalazzoMediciRiccardi&Kiefhoek,04_Renaissance,10_International,29.52643112,11.60400233,14.31990217,11.5868058,44.38659788,7.692711281,87.55111694,44,0.242033716,0.278336015,0.462855048,0.444444444,0.126399279
PalazzoMediciRiccardi&SeagramBuilding,04_Renaissance,10_International,22.45200864,11.38598729,11.81866473,11.50734513,39.46132363,7.999167603,88.76712918,61,0.260108996,0.33702305,0.538983405,0.515116827,0.197277144
SantaMariadellaPace&EquitableBuilding,04_Renaissance,10_International,24.76273559,9.366640913,10.99983793,16.0074513,47.00072681,5.867838077,77.96971202,157,0.259951502,0.323133141,0.302800834,0.382626766,0.182691202
SantaMariadellaPace&Glaspaleis,04_Renaissance,10_International,28.09685823,9.631564149,13.7164676,12.26853273,27.15988848,29.46011738,86.04620695,62,0.330037318,0.221566004,0.37078695,0.333911536,0.258905977
SantaMariadellaPace&Kiefhoek,04_Renaissance,10_International,32.94836685,10.73940905,14.21383311,12.35314441,48.27398578,5.70543517,88.3431077,59,0.280597668,0.250759151,0.343904182,0.353553391,0.151393667
SantaMariadellaPace&SeagramBuilding,04_Renaissance,10_International,21.64874438,9.633498237,11.79737309,10.99955817,44.78474482,5.800638058,86.24325395,64,0.237582546,0.234630633,0.332129071,0.309993703,0.223656774
FlorenceCathedral&AntwerpPortHouse,04_Renaissance,11_Deconstructivism,26.23509372,10.58738133,19.15785492,20.5357628,51.65748679,7.008360362,91.1970377,97,0.27668193,0.189195115,0.380647451,0.59664106,0.137968749
FlorenceCathedral&CctvHeadquarter,04_Renaissance,11_Deconstructivism,28.33108051,11.26979237,18.19093038,20.4966776,50.66064944,7.448420795,85.2799654,854,0.28431787,0.21224371,0.410786673,0.459673731,0.129350752
FlorenceCathedral&GuggenheimMuseum,04_Renaissance,11_Deconstructivism,27.06048573,10.13134788,15.94183329,15.44262697,44.11258979,6.671191617,90.86882472,141,0.176102657,0.262798112,0.32871522,0.590244243,0.117327519
FlorenceCathedral&JewishMuseum,04_Renaissance,11_Deconstructivism,17.74439542,8.65343,22.07850156,10.39046515,50.78770923,7.240139361,86.40059233,153,0.229276873,0.197104238,0.405417447,0.572767392,0.128525257
OspedaledegliInnocenti&AntwerpPortHouse,04_Renaissance,11_Deconstructivism,30.34540484,9.850389654,28.45612691,11.8347238,34.39639623,7.940468542,92.89758801,107,0.263160188,0.270122245,0.366701831,0.696009399,0.257456124
OspedaledegliInnocenti&CctvHeadquarter,04_Renaissance,11_Deconstructivism,30.77525447,12.35539935,22.41011821,10.55700419,34.25773226,8.432235256,83.858639,854,0.197309986,0.329821579,0.362701544,0.583536655,0.044990391
OspedaledegliInnocenti&GuggenheimMuseum,04_Renaissance,11_Deconstructivism,31.00735214,8.910108368,24.02634523,14.37948325,29.12285496,7.446130875,88.87928128,143,0.170430992,0.308909144,0.269789401,0.647435726,0.18824628
OspedaledegliInnocenti&JewishMuseum,04_Renaissance,11_Deconstructivism,20.91700498,6.970758521,29.28758868,17.82615962,34.26237475,8.075624303,82.98517466,155,0.220738083,0.298483245,0.364983663,0.62499568,0.174957842
PalazzoMediciRiccardi&AntwerpPortHouse,04_Renaissance,11_Deconstructivism,27.5842871,11.068244,14.07741084,13.36484151,51.70680545,8.023086382,81.84607029,105,0.294106409,0.22765936,0.490468716,0.635290644,0.242530569
PalazzoMediciRiccardi&CctvHeadquarter,04_Renaissance,11_Deconstructivism,28.29055545,8.42444486,11.83132868,11.21414054,49.99551205,8.405881077,81.48009777,852,0.243735638,0.256028447,0.505866176,0.498393726,0.193575114
PalazzoMediciRiccardi&GuggenheimMuseum,04_Renaissance,11_Deconstructivism,29.57425387,11.79593849,12.48023588,15.48453158,39.2899326,7.619102599,81.92657232,145,0.181591868,0.289887238,0.378214583,0.592313534,0.192680568
PalazzoMediciRiccardi&JewishMuseum,04_Renaissance,11_Deconstructivism,23.06847425,10.08324714,14.36762667,18.50954486,52.29896725,8.074329781,85.43635011,155,0.230652317,0.274544246,0.46873267,0.604335291,0.207571343
SantaMariadellaPace&AntwerpPortHouse,04_Renaissance,11_Deconstructivism,31.59883565,10.86037757,13.09628587,15.40989596,57.17405635,5.306442273,78.94745469,110,0.288954966,0.150298171,0.442109843,0.32358947,0.190041453
SantaMariadellaPace&CctvHeadquarter,04_Renaissance,11_Deconstructivism,30.44198684,8.739461915,11.4792157,12.88274406,55.17339639,5.844297217,78.23524475,845,0.267728295,0.168665234,0.454844016,0.348319704,0.135033533
SantaMariadellaPace&GuggenheimMuseum,04_Renaissance,11_Deconstructivism,33.0233418,11.55367432,12.08633237,16.73454686,44.37485256,5.3264916,78.81163359,144,0.215853367,0.221631799,0.406775109,0.229358692,0.101104982
SantaMariadellaPace&JewishMuseum,04_Renaissance,11_Deconstructivism,28.11072596,10.69947606,13.37495996,20.71944078,57.46661073,5.400602216,83.45114589,154,0.231043622,0.190981936,0.470098019,0.30191764,0.160270885
ChateaudeMaisons&ChurchGesu,05_Baroque,05_Baroque,23.01825774,11.62711706,15.87394267,11.47001739,33.90481268,10.00319239,85.9092176,63,0.54015255,0.449467398,0.475122958,0.527551515,0.252108604
ChateaudeMaisons&SanCarloalleQuattroFontane,05_Baroque,05_Baroque,25.70567269,11.57700432,17.14636657,10.1575812,22.24511844,18.120844,83.25030804,65,0.461734049,0.333332114,0.356548585,0.519943466,0.207582116
ChateaudeMaisons&VauxleVicomte,05_Baroque,05_Baroque,22.19727637,9.048956457,11.77631826,5.988419825,26.32865569,11.26263608,95.1100409,63,0.62693049,0.446533129,0.479741395,0.675667396,0.650360405
ChurchGesu&SanCarloalleQuattroFontane,05_Baroque,05_Baroque,27.24561561,13.604889,9.418088915,15.32929341,35.32352537,28.45424713,94.24459934,38,0.614604294,0.424684815,0.339217648,0.684589899,0.460994989
ChurchGesu&VauxleVicomte,05_Baroque,05_Baroque,28.03402805,13.39066191,9.653398346,13.01117438,65.35061239,9.451962603,84.58002806,52,0.571085989,0.46921505,0.441910148,0.44937103,0.190694258
SanCarloalleQuattroFontane&VauxleVicomte,05_Baroque,05_Baroque,27.64756073,14.81273979,11.2175053,13.0223307,16.63922274,35.95607142,83.40477347,48,0.415557809,0.409535378,0.402147047,0.427680336,0.200161487
ChateaudeMaisons&Amalienburg,05_Baroque,06_Rococo,23.15035772,8.639383564,14.83302804,6.953172194,29.422574,9.792230313,93.58526468,62,0.434044838,0.492136918,0.35364522,0.420971292,0.319373935
ChateaudeMaisons&HoteldeSoubise,05_Baroque,06_Rococo,22.84084526,8.714136659,15.2757845,7.284553094,24.03440222,8.130588872,95.69909573,60,0.570781037,0.454844654,0.412417956,0.426976021,0.539726019
ChateaudeMaisons&LinderhofPalace,05_Baroque,06_Rococo,19.44550295,10.16171389,7.648918372,8.286277848,32.60649822,8.675217316,93.12672615,60,0.528573588,0.384409711,0.459836289,0.507425904,0.239072427
ChateaudeMaisons&Sanssouci,05_Baroque,06_Rococo,24.6173942,8.239892493,11.43560815,6.837932199,25.29771918,8.162978903,78.8123548,60,0.449374661,0.429548115,0.33036375,0.550937013,0.327318102
ChurchGesu&Amalienburg,05_Baroque,06_Rococo,28.20318745,14.00089419,9.724136507,13.91647451,62.42411376,9.245903861,88.09104562,43,0.582035914,0.402542628,0.491634071,0.43640044,0.118426107
ChurchGesu&HoteldeSoubise,05_Baroque,06_Rococo,28.06411539,13.50674669,10.27575604,14.02319184,61.69657011,7.774462771,84.46646333,67,0.611613065,0.425155908,0.358042628,0.367435704,0.198461592
ChurchGesu&LinderhofPalace,05_Baroque,06_Rococo,26.60505374,13.38039732,8.523260681,14.57091931,57.41207157,8.59990947,84.03007984,29,0.579507463,0.356252752,0.456341237,0.531858947,0.138451129
ChurchGesu&Sanssouci,05_Baroque,06_Rococo,28.76477413,15.16987806,9.239792989,15.36283073,59.78448358,7.834629536,91.86756015,29,0.465989642,0.415523134,0.362769425,0.580961457,0.243845284
SanCarloalleQuattroFontane&Amalienburg,05_Baroque,06_Rococo,27.44464778,16.24891982,11.18835922,13.35765654,15.87412724,34.97580583,88.58001828,27,0.426946707,0.323221438,0.29500087,0.496919645,0.160621375
SanCarloalleQuattroFontane&HoteldeSoubise,05_Baroque,06_Rococo,27.37666302,15.33197591,11.9841485,13.38406376,15.16471089,32.00739823,82.22611547,71,0.425075911,0.364372976,0.451918826,0.333005088,0.127412841
SanCarloalleQuattroFontane&LinderhofPalace,05_Baroque,06_Rococo,26.0678964,14.99620165,8.653458655,12.67356601,17.03285206,32.38751127,82.66066909,29,0.494807661,0.272539925,0.358552396,0.563642764,0.205125794
SanCarloalleQuattroFontane&Sanssouci,05_Baroque,06_Rococo,28.64475427,16.20717095,10.24013146,12.98480533,14.9793914,32.62467753,93.36389303,29,0.421075411,0.308212198,0.404072247,0.624433081,0.253042847
VauxleVicomte&Amalienburg,05_Baroque,06_Rococo,23.76876618,9.544760872,14.2162787,6.623361731,57.8491665,8.111088563,93.69785786,51,0.52473291,0.399908572,0.422007471,0.327051927,0.38384077
VauxleVicomte&HoteldeSoubise,05_Baroque,06_Rococo,23.85912306,7.519861166,18.29952998,7.213466704,53.46013802,6.434465911,97.11350203,67,0.592355594,0.417525984,0.545988858,0.372677996,0.555730224
VauxleVicomte&LinderhofPalace,05_Baroque,06_Rococo,20.53463743,7.655282297,9.912173211,8.513628161,63.36019098,6.698435521,94.70493793,49,0.585377142,0.354387604,0.463587925,0.47108153,0.381222993
VauxleVicomte&Sanssouci,05_Baroque,06_Rococo,25.23554302,10.15331204,14.22477929,7.662130246,46.37752967,7.014283759,77.78203487,49,0.512226515,0.432635173,0.426731817,0.431749658,0.318054467
ChateaudeMaisons&CasaBatllo,05_Baroque,07_ArtNouveau,25.38554135,11.06846239,16.93341881,8.715580214,30.07381632,8.895354826,91.04756117,85,0.431055076,0.264546961,0.344552778,0.448785827,0.418678761
ChateaudeMaisons&CastelBeranger,05_Baroque,07_ArtNouveau,16.13665057,10.76521803,14.64578591,10.05048469,30.33027435,8.47738985,95.14381886,116,0.530409515,0.371863037,0.418878838,0.493671334,0.522235692
ChateaudeMaisons&HotelTassel,05_Baroque,07_ArtNouveau,22.05558964,10.27602955,18.44878532,10.12063424,20.92480331,10.45510993,91.24287963,65,0.505659536,0.413103469,0.471911654,0.384239212,0.59767431
ChateaudeMaisons&SecessionBulding,05_Baroque,07_ArtNouveau,22.88456712,9.634742312,21.32909519,8.979170647,29.8682248,8.891015888,91.82517529,65,0.294203319,0.337045226,0.461086728,0.415667626,0.320468754
ChurchGesu&CasaBatllo,05_Baroque,07_ArtNouveau,27.34940186,13.75033602,10.93383043,13.64574545,62.83466428,8.080623146,91.88932776,94,0.40080785,0.275296412,0.357101798,0.360845637,0.251497597
ChurchGesu&CastelBeranger,05_Baroque,07_ArtNouveau,23.8180054,14.64801635,9.468593229,13.33004466,43.65545366,8.710109496,84.14880633,141,0.378808737,0.3810376,0.421615183,0.546764162,0.218920499
ChurchGesu&HotelTassel,05_Baroque,07_ArtNouveau,25.89962511,10.48554624,9.715688853,14.52101206,61.29308772,9.055140944,90.55553079,40,0.582085632,0.30535062,0.406866625,0.396854342,0.150901213
ChurchGesu&SecessionBulding,05_Baroque,07_ArtNouveau,29.7927772,13.27231568,11.09263902,18.63613709,53.50738642,8.668861878,85.86280942,40,0.443478651,0.222409286,0.371656813,0.446953668,0.257466137
SanCarloalleQuattroFontane&CasaBatllo,05_Baroque,07_ArtNouveau,22.83449243,6.795233744,14.50507,13.84956995,17.10638964,33.3487267,92.40452647,94,0.410749413,0.269130699,0.3617993,0.481904555,0.242269427
SanCarloalleQuattroFontane&CastelBeranger,05_Baroque,07_ArtNouveau,25.90648978,15.53986491,11.07510888,14.96574122,15.8519416,27.18514648,83.36959481,137,0.34680739,0.287272207,0.394425817,0.573436688,0.230971277
SanCarloalleQuattroFontane&HotelTassel,05_Baroque,07_ArtNouveau,21.84237287,9.27754999,12.90590756,16.25036614,14.04237103,35.61948168,91.10918641,36,0.455285609,0.223767325,0.398593307,0.447132637,0.138149098
SanCarloalleQuattroFontane&SecessionBulding,05_Baroque,07_ArtNouveau,27.48607148,16.44520482,16.44752727,14.9367596,16.71285392,28.3293178,85.48959494,36,0.385419749,0.201022211,0.409231089,0.467105988,0.157164589
VauxleVicomte&CasaBatllo,05_Baroque,07_ArtNouveau,26.29639773,14.81025214,20.05285967,7.080779651,61.84136468,6.997952581,92.38693118,88,0.457661875,0.286898527,0.398526803,0.324725458,0.304469734
VauxleVicomte&CastelBeranger,05_Baroque,07_ArtNouveau,13.40264404,8.09042311,15.19586222,10.404773,58.35981035,6.634485841,94.40508485,137,0.474286579,0.339214087,0.445373438,0.397276079,0.450294495
VauxleVicomte&HotelTassel,05_Baroque,07_ArtNouveau,23.46306647,12.52617124,18.80757081,13.32256584,52.18731466,8.985596742,92.3099041,46,0.521525629,0.335407786,0.591398537,0.276818266,0.437156111
VauxleVicomte&SecessionBulding,05_Baroque,07_ArtNouveau,24.86166397,9.176700758,21.43339805,11.29929123,60.13496853,6.978155909,91.26364589,46,0.335672252,0.266257629,0.524525404,0.30429031,0.302864969
ChateaudeMaisons&Bergpolderflat,05_Baroque,08_EarlyModernism,22.23936297,10.8623739,19.66682005,8.857983732,28.20189893,9.223417815,85.37045121,64,0.295657832,0.368418023,0.440641187,0.443398175,0.375320196
ChateaudeMaisons&FagusFactory,05_Baroque,08_EarlyModernism,26.71560113,9.225741888,18.87817927,8.260837807,21.23981444,8.997463575,91.14131927,51,0.276460946,0.375436112,0.444936804,0.446359248,0.32757166
ChateaudeMaisons&Tugendhat,05_Baroque,08_EarlyModernism,23.87171882,11.14842403,21.77259636,7.099220418,19.94743769,9.064829035,88.80240321,61,0.364368379,0.373449065,0.500313282,0.485534529,0.476414204
ChateaudeMaisons&Zonnestraal,05_Baroque,08_EarlyModernism,23.60522832,9.412887069,19.95077607,6.262689709,33.74571866,8.572992476,89.94843364,165,0.319871299,0.308499422,0.434932791,0.511992112,0.42576018
